Sample	Region	Fraction_size	River_part	Riverine_vs_Lentic	Max_depth	distance_from_source_of_the_river	T	DO	TDS	ntu	Transparancy	Color
1	Kamenniki	microfraction	Upper_Volga	flowing	18	2645	16,28	93,38	148,64			
2	Rybinsk_(Kopaevo)	microfraction	Upper_Volga	flowing	5	2623	17,5	105,62	143,7	6,07	160	50
3	Nizhe_g._Tutaev_ili_vyshe_g._YAroslavl'_(Tolga)	microfraction	Upper_Volga	flowing	7	2549	17,5	94,55	144,78	8		50
4	Nizhe_g._YAroslavl'_(Tunoshna)	microfraction	Upper_Volga	flowing	6,5	2524	17,6	87,48	165,59	6,98	150	50
5	Krasnyj_Profintern	microfraction	Upper_Volga	flowing	7,5	2494	17,57	91,7	163,26	5,18	180	50
6	Nizhe_g._Kostroma	microfraction	Upper_Volga	flowing	6,5	2449	18,33	100,15	162,4	6,38	170	45
7	Volgorechensk	microfraction	Upper_Volga	flowing	14,5	2422	17,98	95,07	160,65	4,88	160	45
8	Nizhe_g._Ples	microfraction	Upper_Volga	flowing	11,8	2400	18,13	99,7	157,95	5,68	160	45
9	Nizhe_g._Kineshma	microfraction	Upper_Volga	flowing	15,5	2349	17,47	95,89	156,34	6,85		40
10	Centr_razliva	microfraction	Upper_Volga	reach	11,7	2281	18,09	96,42	139,92	10,52	110	65
11	Puchezh	microfraction	Upper_Volga	reach	18,9	2249	17,29	88,12	155,43	7,46	160	45
12	Chkalovsk_razrez	microfraction	Upper_Volga	reach	19,5	2225	17,03	85,75	155,13	5,83	170	45
13	Gorodec	microfraction	Upper_Volga	flowing	5,4	2205	18,5	105,26	153,91	6,2	180	40
14	Nizhe_Kstovo	microfraction	Middle_Volga	flowing	10	2128	19,53	116,34	212,44	10,18	100	30
15	Makar'ev_(levyj_bereg)	microfraction	Middle_Volga	flowing	14	2065	19,91	117,77	209,53	11,96		
16	Razrez_LB_Volgi_窶点r._Sura	microfraction	Middle_Volga	flowing	2	1991	20,8	91,06	450,36	11,8	90	20
17	Vasil'sursk	microfraction	Middle_Volga	flowing	9,8	2024	19,9	82,15	252,16	10,39	130	35
18	U_Vetlugi	microfraction	Middle_Volga	flowing	8	1957	19,3	81,36	245,7	8,85	130	35
19	Koz'modem'yansk	microfraction	Middle_Volga	flowing	9,9	1941	19,5	82,33	245,1	9,49	150	20
20	Il'inka	microfraction	Middle_Volga	reach	17	1918	19,14	94,41	234,6	4,22	200	30
21	Priplotinnyj_uchastok_26_m_gl.	microfraction	Middle_Volga	reach	26,5	1879	18,74	95,61	227,8	3,42	220	30
22	Nizhe_Novocheboksarska	microfraction	Middle_Volga	reach	8	1868	19,1	95,29	227,29	4,54	220	35
23	Nizhe_Zvenigovo	microfraction	Middle_Volga	flowing	9,2	1828	19,08	106,77	226,86	5,22	220	30
24	Nizhe_Sviyazhska	microfraction	Middle_Volga	flowing	16	1771	18,9	99,47	228,31	2,97	240	30
25	Razrez_Kazan'_窶点PB_Volgi	microfraction	Middle_Volga	flowing	14,5	1755	18,46	98,14	233,85	4,11	230	30
26	Nizhe_g._Kazan'	microfraction	Middle_Volga	flowing	16	1739	18,65	94,33	257,61	4,37	200	35
27	Shelanga	microfraction	Middle_Volga	flowing	13	1721	18,89	96,3	229,4	3,29	210	30
28	Kamskoe_ust'e	microfraction	Middle_Volga	reach	16,5	1681	18,68	97,2	229,27	4,85	200	35
29	r._Kama_protiv_Atabaevo,_razrez	microfraction	Middle_Volga	reach	12	1661	18,49	97,77	196,53	9,34	150	40
30	R._Kama_protiv_Laishevo	microfraction	Middle_Volga	reach	13	1633	18,37	98,6	214,29	16,03	110	40
31	Balahchino	microfraction	Middle_Volga	reach	18	1609	18,42	93,75	195,03	11,37		40
32	Vyshe_p._Tetyushi	microfraction	Lower_Volga	reach	35	1631	18,8	94,8	186,38	6,21	160	40
33	Razrez_s._Kremenki_-_Undory	microfraction	Lower_Volga	reach	24	1581	18,62	96,84	201,74	5,25	185	35
34	Seredina_razliva	microfraction	Lower_Volga	reach	11	1568	18,19	99,7	205,4	5,02	185	35
35	Nizhe_Novoul'yanovska	microfraction	Lower_Volga	reach	16	1512	18,19	99,42	226,24	6,52	170	35
36	Ust'e_r._Bol._CHeremshan	microfraction	Lower_Volga	reach	16	1476	17,39	96,05	228,76	5,59	210	30
37	Protiv_r._B._CHeremshan	microfraction	Lower_Volga	reach	28	1471	17,91	95,56	230,63	13,11		35
38	Protiv_r._Usa	microfraction	Lower_Volga	reach	18	1411	18,49	97,39	248,3	6,66	180	30
39	Priplotinnyj_uchastok	microfraction	Lower_Volga	reach	26	1391	18,06	92,66	248,51	4,88	200	30
40	Nizhnij_b'ef_Samarskoj_GES	microfraction	Lower_Volga	reach	8	1384	18	93,03	254,8	3,13	280	30
41	Vyshe_SHiryaevo	microfraction	Lower_Volga	flowing	16	1361	18,1	90,86	253,5	4,61	280	25
42	Ermakovo	microfraction	Lower_Volga	flowing	16	1290	18,1	93,41	253,5	3,51	280	20
43	Vyshe_Syzrani	microfraction	Lower_Volga	flowing	10	1216	17,9	97,33	259,98	5,23	240	30
44	Razliv_u_p._Privolzh'e	microfraction	Lower_Volga	reach	22,9	1171	17,7	94,5	261,85	4,25	280	25
45	razrez_Hvalynsk_-_Duhovnickoe	microfraction	Lower_Volga	reach	18,9	1121	17,29	97,03	264,72	3,91	280	30
46	Volga_u_Duhovnickogo	microfraction	Lower_Volga	reach	19,5	1121	16,89	98,76	268,59	4,42	270	30
47	Volga_protiv_Mal._Irgiza	microfraction	Lower_Volga	reach	21	1086	17,84	95,98	272,3	6,16	240	25
48	Balakovo-1_razrez	microfraction	Lower_Volga	reach	9,8	1066	17,9	100,66	278,93	3,99	230	30
49	Balakovo-2_(SHirokij	microfraction	Lower_Volga	reach	18,8	1066	18,09	97,28	274,41	4,82	260	25
50	n/b_Sarat._GES	microfraction	Lower_Volga	flowing	11	1046	17,93	99,72	278,2	3,59	280	30
51	Nizhe_Vol'ska	microfraction	Lower_Volga	flowing	16	1020	18	94,9	276,25	4,85	240	30
52	Nizhe_Marksa	microfraction	Lower_Volga	reach	6	961	18,3	102,16	280,2	5,4	240	25
53	Vyshe_Saratova	microfraction	Lower_Volga	reach	16	911	18,59	93,92	281,5	4,73	240	30
54	Razrez_Rovnoe_-_Zolotoe	microfraction	Lower_Volga	reach	18	796	18,88	96,89	286,4	4,6	240	30
55	LB_Volgi_u_Rovnogo	microfraction	Lower_Volga	reach	9	796	19,15	98,12	285,94	5,3	290	25
56	Volga_protiv_r._Eruslan_(Nizhnyaya_Dobrinka)	microfraction	Lower_Volga	reach	23	721	19,19	96,95	287,9	5,67	210	30
57	Kamyshin	microfraction	Lower_Volga	reach	27,4	686	19,85	96,86	287,3	4,19	230	30
58	Razrez_Gornyj_Balyklej	microfraction	Lower_Volga	reach	27,8	616	20,33	98,96	281,36	4,3	230	30
59	Zaliv_Gornyj_Balyklej_(s_lodki)	microfraction	Lower_Volga	reach	11	616	20,65	102,28	281,23	5,66	250	25
60	v/b_Volzhskoj_GES_(Volzhskij)	microfraction	Lower_Volga	reach	27,1	541	20,4	92,4	281,02	4,07	280	20
61	Volgograd,_n/b_Volg._GES	microfraction	Lower_Volga	reach	11	524	20,7	90,55	282,35	3,83	250	20
62	Rajgorod	microfraction	Lower_Volga	reach	9,2	455	20,4	85,83	282,7	5,6	230	30
63	Chernyj_yar	microfraction	Lower_Volga	reach	4	319	20,9	86,4	287,3	10,9	130	25
64	Vetlyanka	microfraction	Lower_Volga	reach	6	236	20,69	93,44	287,9	16,32	110	20
65	Seroglazka	microfraction	Lower_Volga	reach	7	125	20,89	87,46	289,58	21,8	100	30
66	Zam'yany	microfraction	Lower_Volga	reach	7	97	20,78	92,25	285,8	28,6	90	25
67	Vernelebyazh'e_(Al'pijskaya_derevnya)	microfraction	Lower_Volga	reach	9	80	20,8	89,28	290,6	29,17	110	20
68	Astrahan'_Rukav_Krivaya_Bolda	microfraction	Lower_Volga	reach	2	22	20,8	85,03	290,33	16,4	85	30
69	Nizhe_Astrahani_(zolotoj_zaton)	microfraction	Lower_Volga	reach	6	12	20,8	84,19	291,7	29,3	75	25
70	Kamenniki	picofraction	Upper_Volga	flowing	18	2645	16,28	93,38	148,64			
71	Rybinsk_(Kopaevo)	picofraction	Upper_Volga	flowing	5	2623	17,5	105,62	143,7	6,07	160	50
72	Nizhe_g._Tutaev_ili_vyshe_g._YAroslavl'_(Tolga)	picofraction	Upper_Volga	flowing	7	2549	17,5	94,55	144,78	8		50
73	Nizhe_g._YAroslavl'_(Tunoshna)	picofraction	Upper_Volga	flowing	6,5	2524	17,6	87,48	165,59	6,98	150	50
74	Krasnyj_Profintern	picofraction	Upper_Volga	flowing	7,5	2494	17,57	91,7	163,26	5,18	180	50
75	Nizhe_g._Kostroma	picofraction	Upper_Volga	flowing	6,5	2449	18,33	100,15	162,4	6,38	170	45
76	Volgorechensk	picofraction	Upper_Volga	flowing	14,5	2422	17,98	95,07	160,65	4,88	160	45
77	Nizhe_g._Ples	picofraction	Upper_Volga	flowing	11,8	2400	18,13	99,7	157,95	5,68	160	45
78	Nizhe_g._Kineshma	picofraction	Upper_Volga	flowing	15,5	2349	17,47	95,89	156,34	6,85		40
79	Centr_razliva	picofraction	Upper_Volga	reach	11,7	2281	18,09	96,42	139,92	10,52	110	65
80	Puchezh	picofraction	Upper_Volga	reach	18,9	2249	17,29	88,12	155,43	7,46	160	45
81	Chkalovsk_razrez	picofraction	Upper_Volga	reach	19,5	2225	17,03	85,75	155,13	5,83	170	45
82	Gorodec	picofraction	Upper_Volga	flowing	5,4	2205	18,5	105,26	153,91	6,2	180	40
83	Nizhe_Kstovo	picofraction	Middle_Volga	flowing	10	2128	19,53	116,34	212,44	10,18	100	30
84	Makar'ev_(levyj_bereg)	picofraction	Middle_Volga	flowing	14	2065	19,91	117,77	209,53	11,96		
85	Razrez_LB_Volgi_窶点r._Sura	picofraction	Middle_Volga	flowing	2	1991	20,8	91,06	450,36	11,8	90	20
86	Vasil'sursk	picofraction	Middle_Volga	flowing	9,8	2024	19,9	82,15	252,16	10,39	130	35
87	U_Vetlugi	picofraction	Middle_Volga	flowing	8	1957	19,3	81,36	245,7	8,85	130	35
88	Koz'modem'yansk	picofraction	Middle_Volga	flowing	9,9	1941	19,5	82,33	245,1	9,49	150	20
89	Il'inka	picofraction	Middle_Volga	reach	17	1918	19,14	94,41	234,6	4,22	200	30
90	Priplotinnyj_uchastok_26_m_gl.	picofraction	Middle_Volga	reach	26,5	1879	18,74	95,61	227,8	3,42	220	30
91	Nizhe_Novocheboksarska	picofraction	Middle_Volga	reach	8	1868	19,1	95,29	227,29	4,54	220	35
92	Nizhe_Zvenigovo	picofraction	Middle_Volga	flowing	9,2	1828	19,08	106,77	226,86	5,22	220	30
93	Nizhe_Sviyazhska	picofraction	Middle_Volga	flowing	16	1771	18,9	99,47	228,31	2,97	240	30
94	Razrez_Kazan'_窶点PB_Volgi	picofraction	Middle_Volga	flowing	14,5	1755	18,46	98,14	233,85	4,11	230	30
95	Nizhe_g._Kazan'	picofraction	Middle_Volga	flowing	16	1739	18,65	94,33	257,61	4,37	200	35
96	Shelanga	picofraction	Middle_Volga	flowing	13	1721	18,89	96,3	229,4	3,29	210	30
97	Kamskoe_ust'e	picofraction	Middle_Volga	reach	16,5	1681	18,68	97,2	229,27	4,85	200	35
98	r._Kama_protiv_Atabaevo,_razrez	picofraction	Middle_Volga	reach	12	1661	18,49	97,77	196,53	9,34	150	40
99	R._Kama_protiv_Laishevo	picofraction	Middle_Volga	reach	13	1633	18,37	98,6	214,29	16,03	110	40
100	Balahchino	picofraction	Middle_Volga	reach	18	1609	18,42	93,75	195,03	11,37		40
101	Vyshe_p._Tetyushi	picofraction	Lower_Volga	reach	35	1631	18,8	94,8	186,38	6,21	160	40
102	Razrez_s._Kremenki_-_Undory	picofraction	Lower_Volga	reach	24	1581	18,62	96,84	201,74	5,25	185	35
103	Seredina_razliva	picofraction	Lower_Volga	reach	11	1568	18,19	99,7	205,4	5,02	185	35
104	Nizhe_Novoul'yanovska	picofraction	Lower_Volga	reach	16	1512	18,19	99,42	226,24	6,52	170	35
105	Ust'e_r._Bol._CHeremshan	picofraction	Lower_Volga	reach	16	1476	17,39	96,05	228,76	5,59	210	30
106	Protiv_r._B._CHeremshan	picofraction	Lower_Volga	reach	28	1471	17,91	95,56	230,63	13,11		35
107	Protiv_r._Usa	picofraction	Lower_Volga	reach	18	1411	18,49	97,39	248,3	6,66	180	30
108	Priplotinnyj_uchastok	picofraction	Lower_Volga	reach	26	1391	18,06	92,66	248,51	4,88	200	30
109	Nizhnij_b'ef_Samarskoj_GES	picofraction	Lower_Volga	reach	8	1384	18	93,03	254,8	3,13	280	30
110	Vyshe_SHiryaevo	picofraction	Lower_Volga	flowing	16	1361	18,1	90,86	253,5	4,61	280	25
111	Ermakovo	picofraction	Lower_Volga	flowing	16	1290	18,1	93,41	253,5	3,51	280	20
112	Vyshe_Syzrani	picofraction	Lower_Volga	flowing	10	1216	17,9	97,33	259,98	5,23	240	30
113	Razliv_u_p._Privolzh'e	picofraction	Lower_Volga	reach	22,9	1171	17,7	94,5	261,85	4,25	280	25
114	razrez_Hvalynsk_-_Duhovnickoe	picofraction	Lower_Volga	reach	18,9	1121	17,29	97,03	264,72	3,91	280	30
115	Volga_u_Duhovnickogo	picofraction	Lower_Volga	reach	19,5	1121	16,89	98,76	268,59	4,42	270	30
116	Volga_protiv_Mal._Irgiza	picofraction	Lower_Volga	reach	21	1086	17,84	95,98	272,3	6,16	240	25
117	Balakovo-1_razrez	picofraction	Lower_Volga	reach	9,8	1066	17,9	100,66	278,93	3,99	230	30
118	Balakovo-2_(SHirokij	picofraction	Lower_Volga	reach	18,8	1066	18,09	97,28	274,41	4,82	260	25
119	n/b_Sarat._GES	picofraction	Lower_Volga	flowing	11	1046	17,93	99,72	278,2	3,59	280	30
120	Nizhe_Vol'ska	picofraction	Lower_Volga	flowing	16	1020	18	94,9	276,25	4,85	240	30
121	Nizhe_Marksa	picofraction	Lower_Volga	reach	6	961	18,3	102,16	280,2	5,4	240	25
122	Vyshe_Saratova	picofraction	Lower_Volga	reach	16	911	18,59	93,92	281,5	4,73	240	30
123	Razrez_Rovnoe_-_Zolotoe	picofraction	Lower_Volga	reach	18	796	18,88	96,89	286,4	4,6	240	30
124	LB_Volgi_u_Rovnogo	picofraction	Lower_Volga	reach	9	796	19,15	98,12	285,94	5,3	290	25
125	Volga_protiv_r._Eruslan_(Nizhnyaya_Dobrinka)	picofraction	Lower_Volga	reach	23	721	19,19	96,95	287,9	5,67	210	30
126	Kamyshin	picofraction	Lower_Volga	reach	27,4	686	19,85	96,86	287,3	4,19	230	30
127	Razrez_Gornyj_Balyklej	picofraction	Lower_Volga	reach	27,8	616	20,33	98,96	281,36	4,3	230	30
128	Zaliv_Gornyj_Balyklej_(s_lodki)	picofraction	Lower_Volga	reach	11	616	20,65	102,28	281,23	5,66	250	25
129	v/b_Volzhskoj_GES_(Volzhskij)	picofraction	Lower_Volga	reach	27,1	541	20,4	92,4	281,02	4,07	280	20
130	Volgograd,_n/b_Volg._GES	picofraction	Lower_Volga	reach	11	524	20,7	90,55	282,35	3,83	250	20
131	Rajgorod	picofraction	Lower_Volga	reach	9,2	455	20,4	85,83	282,7	5,6	230	30
132	Chernyj_yar	picofraction	Lower_Volga	reach	4	319	20,9	86,4	287,3	10,9	130	25
133	Vetlyanka	picofraction	Lower_Volga	reach	6	236	20,69	93,44	287,9	16,32	110	20
134	Seroglazka	picofraction	Lower_Volga	reach	7	125	20,89	87,46	289,58	21,8	100	30
135	Zam'yany	picofraction	Lower_Volga	reach	7	97	20,78	92,25	285,8	28,6	90	25
136	Vernelebyazh'e_(Al'pijskaya_derevnya)	picofraction	Lower_Volga	reach	9	80	20,8	89,28	290,6	29,17	110	20
137	Astrahan'_Rukav_Krivaya_Bolda	picofraction	Lower_Volga	reach	2	22	20,8	85,03	290,33	16,4	85	30
138	Nizhe_Astrahani_(zolotoj_zaton)	picofraction	Lower_Volga	reach	6	12	20,8	84,19	291,7	29,3	75	25
139	test_m	minus	control	control								
140	test_p	plus	control	control								
